12410882,sell,34.30000000,7.53200000,1700179755040
12410883,buy,34.30000000,7.53400000,1700179771163
12410884,buy,27.20000000,7.53500000,1700179771168
12410885,sell,34.30000000,7.52200000,1700179792200
12410886,sell,24.20000000,7.51900000,1700179793512
12410887,buy,0.90000000,7.51600000,1700179835478
12410888,sell,14.40000000,7.51600000,1700179838394
12410889,sell,19.90000000,7.51600000,1700179838395
12410890,buy,26.70000000,7.51400000,1700179843999
12410891,sell,26.70000000,7.51000000,1700179881644
12410892,sell,111.10000000,7.51000000,1700179881644
12410893,buy,34.30000000,7.51100000,1700179910291
12410894,buy,34.50000000,7.51200000,1700179910299
12410895,sell,34.30000000,7.51200000,1700179945293
12410896,sell,32.90000000,7.50700000,1700179948181
12410897,buy,34.30000000,7.50300000,1700179970471
12410898,sell,11.10000000,7.50900000,1700179996073
12410899,sell,0.70000000,7.50600000,1700180035173
12410900,buy,34.30000000,7.50700000,1700180080598
12410901,buy,0.80000000,7.50900000,1700180111667
12410902,buy,42.10000000,7.51200000,1700180111672
12410903,buy,3.00000000,7.51200000,1700180111866
12410904,buy,1.50000000,7.51400000,1700180113027
12410905,buy,22.40000000,7.51800000,1700180117527
12410906,buy,53.00000000,7.52000000,1700180117533
12410907,sell,1.30000000,7.53000000,1700180143666
12410908,buy,16.20000000,7.53500000,1700180144380
12410909,buy,8.00000000,7.53500000,1700180144634
12410910,buy,15.10000000,7.53800000,1700180171428
12410911,sell,4.90000000,7.54200000,1700180178073
12410912,sell,29.40000000,7.54200000,1700180181971
12410913,sell,10.90000000,7.53900000,1700180182004
12410914,buy,8.00000000,7.54100000,1700180185504
12410915,buy,14.40000000,7.54100000,1700180185506
12410916,buy,26.60000000,7.55300000,1700180210348
12410917,buy,12.00000000,7.55300000,1700180210350
12410918,buy,25.90000000,7.55300000,1700180210351
12410919,buy,153.70000000,7.55300000,1700180210351
12410920,buy,20.70000000,7.55500000,1700180210355
12410921,sell,10.40000000,7.55200000,1700180210523
12410922,sell,23.90000000,7.55200000,1700180221120
12410923,sell,18.20000000,7.54700000,1700180239034
12410924,sell,55.00000000,7.54600000,1700180239038
12410925,sell,27.40000000,7.54600000,1700180239039
12410926,sell,1.90000000,7.54600000,1700180239082
12410927,buy,69.40000000,7.54800000,1700180246109
12410928,sell,9.90000000,7.54900000,1700180258049
12410929,sell,10.20000000,7.54400000,1700180263790
12410930,sell,20.70000000,7.54100000,1700180263857
12410931,sell,20.70000000,7.54100000,1700180263862
12410932,sell,6.60000000,7.53700000,1700180273120
12410933,sell,39.70000000,7.53400000,1700180275573
12410934,sell,37.80000000,7.53300000,1700180275573
12410935,buy,34.30000000,7.53300000,1700180288039
12410936,sell,34.30000000,7.53300000,1700180296246
12410937,sell,24.80000000,7.52900000,1700180296888
12410938,sell,6.30000000,7.52800000,1700180297011
12410939,sell,1.10000000,7.52200000,1700180309128
12410940,sell,4.50000000,7.52200000,1700180316525
12410941,sell,11.00000000,7.52100000,1700180316525
12410942,sell,30.70000000,7.52000000,1700180316558
12410943,sell,61.20000000,7.52000000,1700180316561
12410944,buy,34.30000000,7.51900000,1700180324932
12410945,buy,25.00000000,7.52100000,1700180325050
12410946,buy,16.20000000,7.52200000,1700180329967
12410947,buy,36.40000000,7.52500000,1700180332380
12410948,sell,16.20000000,7.52500000,1700180341131
12410949,sell,21.10000000,7.51900000,1700180345315
