timestamp,percentage,depth,notional
2026-09-15 00:00:06,-5.00,9258.55500000,707988857.24850000
2026-09-15 00:00:06,-4.00,8030.14200000,616146194.07480000
2026-09-15 00:00:06,-3.00,6411.43200000,494014091.23180000
