id,price,qty,quote_qty,time,is_buyer_maker
8078264332,78153.0,0.001,78.153,1789430400003,false
8078264333,78152.9,0.014,1094.1406,1789430400006,true
8078264334,78152.9,0.084,6564.8436,1789430400008,true
