open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1789430400000,78153.00,78223.30,77905.50,77928.50,5124.846,1789433999999,399835975.06250,109441,2423.990,189098398.43360,0
1789434000000,77928.50,78061.60,77709.70,77888.20,7955.222,1789437599999,619653556.95870,134789,4362.819,339832015.53240,0
1789437600000,77888.20,77991.10,77757.20,77878.30,3957.125,1789441199999,308198483.13600,83355,2150.012,167457809.20640,0
