agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
3449899747,78153.0,0.001,8078264332,8078264332,1789430400003,false
3449899748,78152.9,0.148,8078264333,8078264336,1789430400006,true
3449899749,78152.8,0.001,8078264337,8078264337,1789430400008,true
3449899750,78152.6,0.008,8078264338,8078264345,1789430400008,true
3449899751,78152.3,0.001,8078264346,8078264346,1789430400008,true
