update_id,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,transaction_time,event_time
3831603310899,41734.90000000,0.70200000,41735.00000000,2.03300000,1705276800014,1705276800018
3831603311805,41734.90000000,0.62800000,41735.00000000,2.03300000,1705276800026,1705276800032
3831603312037,41734.90000000,0.62800000,41735.00000000,1.99000000,1705276800029,1705276800034
